trigrams,trigram_prediction,bigrams,bigram_prediction,unigrams,unigram_prediction
be the best,day,do the,same,tired,of
feel like im,in,theres a,lot,k,you
to catch up,on,as the,best,dog,is
why do i,have,nice to,see,c,and
having a great,day,is like,a,site,is
i could be,there,of us,are,turn,to
its a good,thing,to use,it,visit,us
thanks for coming,out,be at,the,writing,a
the best of,the,coming to,the,worth,it
why is it,that,rt if,you,share,with
best of luck,to,thats what,i,plan,to
it is the,best,if we,can,side,of
make it to,the,glad to,hear,three,days
what are your,plans,excited for,the,sick,of
talk to me,about,get my,hair,beat,the
that is a,great,do that,to,hahaha,i
congrats on the,new,that would,be,able,to
i should be,able,a man,who,spring,break
its hard to,find,you had,a,till,have
of the most,important,please follow,me,busy,day
on the th,floor,is there,a,dream,of
to get some,sleep,how you,can,mine,is
to go back,to,the people,who,rain,is
i got to,see,join us,for,wouldnt,be
i love u,so,it just,me,proud,of
if i could,get,my friend,is,college,football
it comes to,the,got the,best,service,to
that is the,question,live in,the,understand,why
the shout out,we,dont like,it,dance,with
will be on,the,if the,world,giving,away
a good thing,i,we love,you,against,the
i thought you,were,that one,person,park,in
just saw a,guy,cant believe,i,x,for
know what to,do,you the,best,number,of
the way you,think,my friends,and,power,of
going to bed,early,the rt,and,men,in
if i was,a,did i,miss,huge,fan
as well as,the,let us,know,whos,going
just had a,great,welcome to,the,instead,of
will be there,to,the morning,and,deal,with
but i am,not,from my,phone,youve,got
for all of,the,you see,the,ppl,who
forward to your,tweets,your life,is,boys,are
great way to,start,may be,the,dm,me
in the house,tonight,your favorite,song,trip,to
in your life,that,dont get,it,christmas,to
miss you too,i,getting ready,for,pay,for
the hunger games,i,an amazing,day,drive,to
is like a,box,a bad,idea,bar,and
love you too,and,to for,the,club,in
so much i,love,of me,and,blog,post
check out my,new,how i,feel,website,is
youre going to,be,it a,lot,austin,mahone
for the rest,of,and now,i,vs,the
have a wonderful,day,love that,song,easy,to
thats why i,love,she is,a,app,for
the out of,me,away from,the,mad,at
first day of,spring,me the,most,couldnt,be
i havent been,on,it for,the,matter,what
im in the,mood,be able,to,cuz,i
in the next,few,to tell,you,ones,and
to tell you,that,wake up,and,cold,and
look like a,fool,in love,with,water,and
tonight at the,grand,people are,so,finished,a
do you like,to,the weekend,is,stupid,and
i live in,a,lets go,to,kid,i
to hear that,you,the year,of,under,the
whats going on,in,then i,will,town,for
day of the,week,and not,the,yea,i
how do i,get,of that,i,ah,i
i just dont,know,are in,the,couple,of
i know what,you,see it,in,via,twitter
seems to be,a,a nice,day,knew,it
come to the,family,day in,the,single,day
im so excited,for,why is,it,dear,god
it was so,good,up a,little,young,man
that i am,a,will you,be,hello,to
to come to,the,thinking about,it,success,is
to win a,free,to stop,by,project,for
us know if,you,being a,part,band,is
you should be,able,im sure,you,tho,i
so much to,do,when they,are,san,diego
to you and,your,that we,are,small,business
you like to,see,are going,to,sound,like
excited to be,a,with us,at,account,for
get to see,you,and they,are,shows,up
it should be,a,thanks so,much,film,festival
i just wanna,be,a week,and,google,it
i think that,is,my way,to,ff,to
but it was,a,think about,it,experience,with
i was going,to,give me,a,nyc,for
know what i,mean,out with,my,arent,you
this is my,first,are not,the,appreciate,it
with all the,new,to bed,early,street,and
did you see,the,is one,of,green,bay
i dont understand,why,like this,is,books,and
in the first,place,is no,longer,thx,for
just found out,that,now im,not,group,of
the world is,a,one day,i,john,mayer
was a good,day,and all,the,weird,that
we love you,too,we were,just,write,a
when you are,in,not be,a,dc,for
you know how,to,stop by,and,voice,is
i was thinking,the,but not,the,thursday,night
need to do,a,love your,tweets,store,for
to do that,again,only one,who,yay,for
follow me please,i,follow back,please,series,of
i wanna go,to,was in,the,eyes,and
makes me feel,like,my head,is,woman,in
that you are,not,those who,are,safe,and
who you are,and,tell you,how,ugh,the
and i cant,wait,i might,be,history,of
up for the,day,my day,off,dad,is
i know it,was,that im,not,sign,up
join us for,a,the big,screen,wine,and
to do the,same,will have,to,library,is
i look forward,to,you would,like,lose,to
forward to it,i,new york,city,local,news
if you cant,get,so happy,to,fight,for
in order to,get,check it,out,fire,in
in the car,with,on facebook,and,become,a
the other day,and,got my,first,behind,the
to see how,much,out on,the,catch,up
want me to,be,i say,i,starts,at
would you like,to,call me,maybe,works,for
and have a,great,a free,copy,wear,a
i was like,what,come out,and,months,ago
sorry for the,delay,the worst,thing,fast,and
in the studio,with,with that,one,picture,of
you are not,the,is now,on,american,idol
thought i was,the,they were,all,order,to
all over the,place,i go,to,fine,i
and thank you,for,was so,good,conference,in
dont know why,i,high school,and,public,library
it makes me,feel,dont even,know,date,with
of the night,and,happy mothers,day,important,to
proud of you,and,next time,i,won,the
up with the,kardashians,my heart,is,vote,for
feel like a,kid,when it,comes,body,else
to be an,amazing,every time,i,tweeting,about
to me i,love,for more,info,living,in
but im not,sure,to eat,a,add,to
can do it,for,think its,a,anymore,i
have a lot,of,a chance,to,bet,you
in the future,i,at this,point,forever,to
what it is,about,about a,week,final,four
best way to,get,i said,i,hand,and
listening to the,new,have fun,at,interested,in
of all the,things,the good,work,center,for
i cant even,imagine,down to,the,radio,show
nice to see,you,so you,can,short,to
for more info,on,watch the,game,album,is
i have an,idea,to put,a,fact,that
in the last,years,we should,have,em,to
is your favorite,place,a year,old,gave,me
whats your favorite,thing,we do,not,shout,out
in the past,few,into a,bar,april,th
ready for a,great,today and,i,eating,a
a good idea,to,so glad,you,lady,gaga
i am the,only,through the,day,tried,to
i got my,own,to learn,how,wit,me
in the s,and,a beautiful,day,die,in
nice to meet,you,is good,for,save,the
a ton of,fun,you go,to,front,of
all of us,at,has to,be,tour,of
for some reason,i,would like,to,cut,off
i really dont,want,have any,questions,songs,on
its time for,a,see what,i,light,of
learn how to,use,is still,a,shot,of
look at the,stars,know the,feeling,sun,is
to get your,tickets,we all,know,stand,the
have you ever,been,get in,the,answer,to
it is not,the,get out,of,message,me
you know it,was,think you,should,hopefully,i
about to go,to,up at,the,company,in
all i want,is,what we,do,dead,and
out in the,sun,make the,best,learning,about
why do you,have,me for,a,takes,a
is not the,same,a huge,fan,feels,like
its a great,day,its all,about,kinda,like
today is the,day,to check,out,community,and
tonight at pm,at,stay tuned,for,sitting,in
excited for the,new,this time,of,available,for
for the support,and,to try,to,mention,this
i hope i,get,look forward,to,sent,you
what you want,to,they dont,have,knows,how
time for a,new,interested in,a,hold,on
went to the,gym,it when,i,case,of
what you do,and,what to,do,worst,thing
you go to,the,too i,love,fb,page
first time in,a,the night,before,heading,to
in the city,of,want a,new,smile,on
it was the,best,chance to,win,met,you
that i dont,have,its so,hard,ride,to
to be at,the,it but,i,everybody,else
do the same,thing,than the,last,link,to
i wish you,were,oh my,god,moving,to
if you like,it,when im,in,country,music
not sure if,i,and have,a,folks,in
the people who,are,the future,of,national,anthem
the name of,the,do a,lot,asked,me
for me i,dont,told me,to,road,trip
i could have,been,im still,in,da,and
to seeing you,there,in and,i,pic,of
you think you,can,proud of,you,tuesday,night
and i was,like,find out,what,shoot,me
now i have,to,get some,sleep,ideas,for
sorry to hear,that,next year,i,area,of
you need a,new,bout to,go,todays,the
at a time,and,its like,a,hurt,you
i try to,be,a girl,who,played,a
i wont be,able,to this,weekend,concert,in
if you havent,already,we dont,have,opening,day
to make sure,you,well be,at,wearing,a
wanna go to,the,in that,case,smh,i
want you to,know,me if,you,contact,me
you have the,best,a wonderful,day,thoughts,on
a picture of,you,new year,to,happened,to
go to school,tomorrow,our new,followers,act,that
i should have,been,out in,the,m,the
if you think,you,i wont,be,loving,the
you like it,i,supposed to,be,football,game
back to work,after,the house,of,blue,and
to wake up,to,just like,the,afternoon,and
trying to figure,out,moment when,you,ball,game
we can do,it,my own,bed,ice,to
if i dont,get,when we,were,hoping,to
one of them,is,just finished,a,sports,fan
up with a,new,us know,if,session,with
next to me,on,whats up,with,questions,about
of the season,and,the past,few,obama,is
really need to,get,at me,like,brother,is
the same way,i,no i,dont,rd,to
to have to,get,of people,who,watched,the
cant wait till,the,my mind,is,son,to
come back to,the,made it,to,justin,bieber
it on the,floor,back on,the,gift,card
love it when,you,wont be,able,rather,than
so much better,than,no matter,what,lucky,to
to be able,to,how about,you,parents,are
wait to hear,the,is what,i,forgot,to
what happened to,the,great time,at,weve,got
you dont want,to,thats the,only,speak,to
i know that,i,now that,i,pass,the
to make the,most,can we,get,bc,i
a long day,of,to buy,a,dreams,come
going to go,to,next to,me,needed,to
it thanks for,the,your own,life,sharing,the
of all time,is,the great,work,air,of
will always be,my,where you,are,ladies,and
the best thing,about,say that,i,record,for
waiting for the,bus,around the,corner,alone,in
has been a,great,but we,are,enjoyed,the
have a new,server,up i,think,wake,up
i need some,new,and he,is,along,with
of course i,am,come back,to,beach,in
so you can,see,to read,it,kill,me
you think of,the,them to,be,cover,of
and i just,got,think im,going,hang,out
but i love,it,be so,much,iphone,app
i got the,same,i agree,with,exactly,what
i was at,the,youre not,a,health,care
the best way,to,full of,people,interview,with
you have no,idea,meet you,too,strong,and
glad to see,you,all over,the,breakfast,at
wed love to,have,is all,about,wife,and
you are in,the,an hour,and,happens,to
are in the,area,by a,car,heat,on
i havent seen,you,im on,the,paper,and
that i can,be,me that,i,bought,a
me and i,will,after the,game,lil,wayne
me i love,you,before i,go,missing,out
i still have,to,its just,a,quite,a
about to get,my,out i,have,star,wars
for the retweet,and,out my,new,plans,for
for your support,and,have some,fun,pizza,and
good luck with,the,made me,laugh,absolutely,love
i just finished,a,good day,to,spend,the
i think my,mom,its time,to,sucks,i
some of my,favorite,enough to,be,often,do
this is why,i,i look,forward,vegas,for
as good as,the,it the,gym,internet,is
